-------------------------------------------------|----------|----------|----------|----------|-------------------|
File                                             |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |
-------------------------------------------------|----------|----------|----------|----------|-------------------|
  provider_results_actions.ts                    |       50 |      100 |        0 |    66.67 |                 9 |
 src/modules/provider_specialty_search           |    53.85 |    31.58 |       25 |    56.94 |                   |
  provider_specialty_search_actions.ts           |       50 |      100 |        0 |    71.43 |             20,45 |
  provider_specialty_search_sagas.ts             |    46.77 |    24.24 |    16.67 |    48.98 |... 37,156,157,159 |
  specialty_search_client.ts                     |    78.95 |       80 |       60 |       75 |       29,38,44,45 |
 src/modules/push_notification                   |    54.29 |    29.41 |       20 |    57.58 |                   |
  push_notification_actions.ts                   |       50 |      100 |        0 |    58.33 |    13,29,47,63,77 |
  push_notification_reducer.ts                   |    71.43 |       60 |      100 |    71.43 |             10,12 |
  push_notification_utils.ts                     |       50 |    16.67 |       50 |       50 |... 31,34,35,37,58 |
 src/modules/security                            |    46.15 |       30 |     12.5 |       60 |                   |
  security_actions.ts                            |       50 |      100 |        0 |     87.5 |                46 |
  security_reducer.ts                            |    41.67 |       30 |      100 |    41.67 |7,9,11,13,19,24,29 |
 src/modules/show_already_connected_health_modal |       75 |       75 |       50 |    85.71 |                   |
  show_already_connected_health_modal_actions.ts |       50 |      100 |        0 |      100 |                   |
  show_already_connected_health_modal_reducer.ts |    83.33 |       75 |      100 |    83.33 |                10 |
 src/modules/wallet                              |    61.11 |       75 |    14.29 |    84.62 |                   |
  wallet_actions.ts                              |       50 |      100 |        0 |    85.71 |                32 |
  wallet_reducer.ts                              |    83.33 |       75 |      100 |    83.33 |                10 |
 src/redux                                       |    62.07 |    64.29 |    21.74 |    64.77 |                   |
  core.ts                                        |    68.57 |       75 |    27.27 |     73.2 |... 2649,2656,2661 |
  selectors.ts                                   |     55.1 |        0 |    16.67 |    56.25 |... 29,233,237,241 |
 src/redux/actions                               |    66.01 |     8.33 |     8.53 |    90.34 |                   |
  index.ts                                       |    66.01 |     8.33 |     8.53 |    90.34 |... 2959,2968,3011 |
 src/redux/reducers                              |    74.41 |    54.39 |      100 |    74.41 |                   |
  activity_tag_reducer.ts                        |    71.43 |       60 |      100 |    71.43 |             11,13 |
  available_benefits_reducer.ts                  |    85.71 |       80 |      100 |    85.71 |                10 |
  chat_reducer.ts                                |    54.84 |    26.32 |      100 |    54.84 |... 2,44,46,48,113 |
  connection_status_reducer.ts                   |    83.33 |       75 |      100 |    83.33 |                10 |
  error_reducer.ts                               |    85.71 |       80 |      100 |    85.71 |                 9 |
  features_reducer.ts                            |    83.33 |       75 |      100 |    83.33 |                10 |
